eta,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo,E_hs_hi,nu_mt,particle_true_density,inside_hs_mt,inside_hs_ds,meets_target_mt,meets_target_ds
0.801,0.2,1.190927420292,4070.675167986155,4133.572906134151,4070.675167986155,5139.0566150406,0.3305678434088499,1.2346371014599997,True,True,True,True
0.801,0.21,1.1914737913066,4133.577083294625,4203.518892084341,4133.577083294625,5254.728713998375,0.3295876462257413,1.2346371014599997,True,True,True,True
0.801,0.22,1.1920201623212,4197.540627008896,4274.960158480763,4197.540627008896,5371.3454910600785,0.3286054220651842,1.2346371014599997,True,True,True,True
0.801,0.23,1.1925665333358,4262.593484675308,4347.932981332883,4262.593484675308,5488.923177343347,0.3276209833656187,1.2346371014599997,True,True,True,True
0.801,0.24,1.1931129043503998,4328.764305717909,4422.474539413632,4328.764305717909,5607.478170609318,0.3266341376625631,1.2346371014599997,True,True,True,True
0.801,0.25,1.193659275365,4396.082745863413,4498.622933535752,4396.082745863413,5727.027045631498,0.32564468734813573,1.2346371014599997,True,True,True,True
0.801,0.26,1.1942056463795998,4464.579511824888,4576.417206122294,4464.579511824888,5847.586564468101,0.32465242941821887,1.2346371014599997,True,True,True,True
0.801,0.27,1.1947520173942,4534.286408385695,4655.897360788835,4534.286408385695,5969.173686660839,0.32365715520648364,1.2346371014599997,True,True,True,True
0.801,0.28,1.1952983884088,4605.236388035543,4737.104382210196,4605.236388035543,6091.8055793821,0.3226586501044329,1.2346371014599997,True,True,True,True
0.801,0.29,1.1958447594233999,4677.463603321569,4820.08025599811,4677.463603321569,6215.499627551511,0.3216566932665628,1.2346371014599997,True,True,True,True
0.801,0.3,1.196391130438,4751.003462089304,4904.867988523655,4751.003462089304,6340.273443941685,0.320651057299674,1.2346371014599997,True,True,True,True
0.801,0.31,1.1969375014525998,4825.892685801447,4991.511626805685,4825.892685801447,6466.144879292435,0.3196415079352931,1.2346371014599997,True,True,True,True
0.801,0.32,1.1974838724672,4902.169371136408,5080.056278418694,4902.169371136408,6593.1320324518565,0.318627803684088,1.2346371014599997,True,True,True,True
0.801,0.33,1.1980302434817998,4979.873055083874,5170.548131511894,4979.873055083874,6721.253260562028,0.3176096954710759,1.2346371014599997,True,True,True,True
0.801,0.34,1.1985766144963996,5059.0447837713255,5263.0344744778795,5059.0447837713255,6850.5271893066465,0.31658692625032875,1.2346371014599997,True,True,True,True
0.801,0.35,1.199122985511,5139.727185273348,5357.563715663922,5139.727185273348,6980.97272323738,0.3155592305977867,1.2346371014599997,True,True,True,True
0.801,0.36,1.1996693565255998,5221.9645466753755,5454.185402856462,5221.9645466753755,7112.60905619527,0.31452633428067545,1.2346371014599997,True,True,True,True
0.801,0.37,1.2002157275402,5305.802895684688,5552.950242872406,5305.802895684688,7245.4556818432575,0.3134879538019115,1.2346371014599997,True,True,True,True
0.801,0.38,1.2007620985547998,5391.290087104955,5653.910120536612,5391.290087104955,7379.532404325688,0.3124437959177451,1.2346371014599997,True,True,True,True
0.801,0.39,1.2013084695693999,5478.475894515806,5757.118117608778,5478.475894515806,7514.859349070217,0.31139355712675626,1.2346371014599997,True,True,True,True
0.801,0.4,1.201854840584,5567.412107526761,5862.628531243013,5567.412107526761,7651.456973747656,0.3103369231281608,1.2346371014599997,True,True,True,True
0.801,0.41,1.2024012115986,5658.152635004994,5970.496892454951,5658.152635004994,7789.346079405011,0.30927356824722174,1.2346371014599997,True,True,True,True
0.801,0.42,1.2029475826132,5750.753614709507,6080.779983733312,5750.753614709507,7928.547821786924,0.30820315482537586,1.2346371014599997,True,True,True,True
0.801,0.43,1.2034939536278,5845.273529800456,6193.535856440642,5845.273529800456,8069.083722860903,0.3071253325724837,1.2346371014599997,True,True,True,True
0.801,0.44,1.2040403246424,5941.773332731986,6308.823847507171,5941.773332731986,8210.975682561448,0.30603973787839955,1.2346371014599997,True,True,True,True
0.801,0.45,1.204586695657,6040.316577080316,6426.70459593991,6040.316577080316,8354.245990768539,0.3049459930808095,1.2346371014599997,True,True,True,True
0.801,0.46,1.2051330666715998,6140.969557906518,6547.240058256895,6140.969557906518,8498.917339536092,0.3038437056860301,1.2346371014599997,True,True,True,True
0.801,0.47,1.2056794376861997,6243.801461305623,6670.4935234828035,6243.801461305623,8645.012835585789,0.3027324675391671,1.2346371014599997,True,True,True,True
0.801,0.48,1.2062258087008,6348.884523851313,6796.5296272039295,6348.884523851313,8792.55601308244,0.30161185393971784,1.2346371014599997,True,True,True,True
0.801,0.49,1.2067721797153999,6456.294202708661,6925.414365147197,6456.294202708661,8941.57084670688,0.30048142269835226,1.2346371014599997,True,True,True,True
0.801,0.5,1.2073185507299997,6566.109357257036,7057.215105500483,6566.109357257036,9092.08176504285,0.29934071313022115,1.2346371014599997,True,True,True,True
0.801,0.51,1.2078649217445998,6678.412443142268,7192.000600488559,6678.412443142268,9244.113664294679,0.29818924497971666,1.2346371014599997,True,True,True,True
0.801,0.52,1.2084112927592,6793.28971976181,7329.840996833169,6793.28971976181,9397.691922352848,0.2970265172711442,1.2346371014599997,True,True,True,True
0.801,0.53,1.2089576637737998,6910.831472280557,7470.807845244564,6910.831472280557,9552.842413225122,0.2958520070792424,1.2346371014599997,True,True,True,True
0.801,0.54,1.2095040347883999,7031.132249378518,7614.974108651029,7031.132249378518,9709.59152185115,0.29466516821292066,1.2346371014599997,True,True,True,True
0.801,0.55,1.210050405803,7154.291118046527,7762.414169224473,7154.291118046527,9867.96615931916,0.2934654298049467,1.2346371014599997,True,True,True,True
0.801,0.56,1.2105967768175998,7280.411936873443,7913.203834114403,7280.411936873443,10027.993778503776,0.29225219479961345,1.2346371014599997,True,True,True,True
0.801,0.57,1.2111431478322,7409.6036494097,8067.42033979732,7409.6036494097,10189.70239014468,0.29102483832963666,1.2346371014599997,True,True,True,True
0.801,0.58,1.2116895188468,7541.980599349306,8225.142354990647,7541.980599349306,10353.120579386285,0.2897827059726626,1.2346371014599997,True,True,True,True
0.801,0.59,1.2122358898613999,7677.662869447162,8386.449982036327,7677.662869447162,10518.27752279963,0.2885251118768061,1.2346371014599997,True,True,True,True
0.801,0.6,1.2127822608759997,7816.77664628368,8551.424756718237,7816.77664628368,10685.203005907959,0.2872513367435545,1.2346371014599997,True,True,True,True
0.802,0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999995,3000.0000000000005,0.35,1.2297419956799998,True,True,False,False
0.802,0.01,1.1804974199568,3046.2209202834233,3046.3533471930123,3046.2209202834233,3099.483885038151,0.3490266707438967,1.2297419956799998,True,True,False,False
0.802,0.02,1.1809948399135999,3093.099909905654,3093.6343011262693,3093.099909905654,3199.6012853452526,0.3480542893109637,1.2297419956799998,True,True,False,False
0.802,0.03,1.1814922598703999,3140.6516593421784,3141.8646716485405,3140.6516593421784,3300.367528395857,0.34708272975592014,1.2297419956799998,True,True,False,False
0.802,0.04,1.1819896798271998,3188.8912924749275,3191.066825927774,3188.8912924749275,3401.7978322474755,0.34611186428992846,1.2297419956799998,True,True,False,False
0.802,0.05,1.182487099784,3237.834382808201,3241.263702545452,3237.834382808201,3503.907325769974,0.34514156318144296,1.2297419956799998,True,True,False,False
0.802,0.06,1.1829845197408,3287.4969704159225,3292.4788257621085,3287.4969704159225,3606.711067748226,0.3441716946531627,1.2297419956799998,True,True,False,False
0.802,0.07,1.1834819396976,3337.89557965906,3344.7363203937475,3337.89557965906,3710.2240649621567,0.34320212477487183,1.2297419956799998,True,True,False,False
0.802,0.08,1.1839793596544,3389.047237714401,3398.060926603428,3389.047237714401,3814.4612893388794,0.34223271735193334,1.2297419956799998,True,True,False,False
0.802,0.09,1.1844767796112001,3440.969493958405,3452.4780151903315,3440.969493958405,3919.437694263129,0.34126333380918944,1.2297419956799998,True,True,False,False
0.802,0.1,1.184974199568,3493.6804402525945,3508.0136030185645,3493.6804402525945,4025.1682301244905,0.3402938330700079,1.2297419956799998,True,True,False,True
0.802,0.11,1.1854716195248,3547.198732179818,3564.694368913191,3547.198732179818,4131.667859173456,0.3393240714301951,1.2297419956799998,True,True,True,True
0.802,0.12,1.1859690394816,3601.5436112838383,3622.54766973831,3601.5436112838383,4238.951569751729,0.3383539024264825,1.2297419956799998,True,True,True,True
0.802,0.13,1.1864664594384,3656.7349283680555,3681.6015566962506,3656.7349283680555,4347.034389957217,0.3373831766992712,1.2297419956799998,True,True,True,True
0.802,0.14,1.1869638793952,3712.793167912706,3741.8847919405976,3712.793167912706,4455.931400798982,0.3364117418493035,1.2297419956799998,True,True,True,True
0.802,0.15,1.187461299352,3769.739473673746,3803.4268653948047,3769.739473673746,4565.657748892999,0.33543944228790545,1.2297419956799998,True,True,True,True
0.802,0.16,1.1879587193087997,3827.5956755307193,3866.25801207817,3827.5956755307193,4676.228658745732,0.33446611908042395,1.2297419956799998,True,True,True,True
0.802,0.17,1.1884561392656,3886.384317655345,3930.4092293386225,3886.384317655345,4787.659444668844,0.3334916097824564,1.2297419956799998,True,True,True,True
0.802,0.18,1.1889535592223999,3946.128688077266,3995.912294538361,3946.128688077266,4899.965522365232,0.3325157482684451,1.2297419956799998,True,True,True,True
0.802,0.19,1.1894509791791998,4006.852849728573,4062.799782750704,4006.852849728573,5013.1624202235835,0.33153836455218055,1.2297419956799998,True,True,True,True
0.802,0.2,1.189948399136,4068.581673054107,4131.1050851473,4068.581673054107,5127.265790356136,0.33055928459872574,1.2297419956799998,True,True,True,True
0.802,0.21,1.1904458190928,4131.340870280551,4200.862427068061,4131.340870280551,5242.291419411914,0.3295783301272437,1.2297419956799998,True,True,True,True
0.802,0.22,1.1909432390496,4195.157031443597,4272.106886587978,4195.157031443597,5358.255239195636,0.32859531840417155,1.2297419956799998,True,True,True,True
0.802,0.23,1.1914406590064,4260.057662279394,4344.874413050028,4260.057662279394,5475.173337120559,0.3276100620261504,1.2297419956799998,True,True,True,True
0.802,0.24,1.1919380789632,4326.07122409384,4419.201846101969,4326.07122409384,5593.061966521788,0.3266223686920752,1.2297419956799998,True,True,True,True
0.802,0.25,1.19243549892,4393.227175731228,4495.126934599841,4393.227175731228,5711.937556855124,0.32563204096358855,1.2297419956799998,True,True,True,True
0.802,0.26,1.1929329188767999,4461.556017772463,4572.688355721308,4461.556017772463,5831.816723805045,0.32463887601328983,1.2297419956799998,True,True,True,True
0.802,0.27,1.1934303388335998,4531.089339102251,4651.925734130446,4531.089339102251,5952.716279324259,0.3236426653598861,1.2297419956799998,True,True,True,True
0.802,0.28,1.1939277587903998,4601.859865994815,4732.8796613534605,4601.859865994815,6074.6532416260425,0.32264319458944607,1.2297419956799998,True,True,True,True
0.802,0.29,1.1944251787471998,4673.90151387851,4815.591715243036,4673.90151387851,6197.644845149753,0.32164024306186867,1.2297419956799998,True,True,True,True
0.802,0.3,1.1949225987039997,4747.249441951532,4900.104479308323,4747.249441951532,6321.708550518908,0.3206335836016031,1.2297419956799998,True,True,True,True
0.802,0.31,1.1954200186608,4821.94011083367,4986.461562149107,4821.94011083367,6446.862054510436,0.3196229821715913,1.2297419956799998,True,True,True,True
0.802,0.32,1.1959174386175997,4898.011343452843,5074.707616840688,4898.011343452843,6573.123300053079,0.318608197529327,1.2297419956799998,True,True,True,True
0.802,0.33,1.1964148585743999,4975.502389380276,5164.888360502981,4975.502389380276,6700.510486272358,0.31758898086383847,1.2297419956799998,True,True,True,True
0.802,0.34,1.1969122785311996,5054.45399284436,5257.050593447215,5054.45399284436,6829.0420785988135,0.3165650754123163,1.2297419956799998,True,True,True,True
0.802,0.35,1.1974096984879998,5134.9084646710135,5351.242218401773,5134.9084646710135,6958.736818956062,0.3155362160550049,1.2297419956799998,True,True,True,True
0.802,0.36,1.1979071184447998,5216.909758417664,5447.512259449579,5216.909758417664,7089.613736044495,0.314502128886872,1.2297419956799998,True,True,True,True
0.802,0.37,1.1984045384015998,5300.5035509888,5545.910881139681,5300.5035509888,7221.692155736524,0.31346253076445324,1.2297419956799998,True,True,True,True
0.802,0.38,1.1989019583584,5385.73732804404,5646.489406922694,5385.73732804404,7354.9917115985845,0.3124171288261419,1.2297419956799998,True,True,True,True
0.802,0.39,1.1993993783152,5472.660474534433,5749.300337570103,5472.660474534433,7489.532355555325,0.311365619984055,1.2297419956799998,True,True,True,True
0.802,0.4,1.199896798272,5561.324370729913,5854.397369074844,5561.324370729913,7625.334368710969,0.31030769038545625,1.2297419956799998,True,True,True,True
0.802,0.41,1.2003942182287999,5651.782494130464,5961.835410619397,5651.782494130464,7762.418372342868,0.30924301484155514,1.2297419956799998,True,True,True,True
0.802,0.42,1.2008916381855999,5744.090527685975,6071.670601639202,5744.090527685975,7900.805339082232,0.3081712562213129,1.2297419956799998,True,True,True,True
0.802,0.43,1.2013890581424,5838.306474785156,6183.960328706725,5838.306474785156,8040.516604296947,0.30709206480769813,1.2297419956799998,True,True,True,True
0.802,0.44,1.2018864780991998,5934.490781512794,6298.763241672084,5934.490781512794,8181.573877691516,0.3060050776136154,1.2297419956799998,True,True,True,True
0.802,0.45,1.202383898056,6032.706466716992,6416.13926966797,6032.706466716992,8323.999255139208,0.30490991765449094,1.2297419956799998,True,True,True,True
0.802,0.46,1.2028813180127997,6133.019260474875,6536.14963600903,6133.019260474875,8467.815230761651,0.3038061931742463,1.2297419956799998,True,True,True,True
0.802,0.47,1.2033787379696,6235.49775159624,6658.8568726716685,6235.49775159624,8613.04470927121,0.3026934968211009,1.2297419956799998,True,True,True,True
0.802,0.48,1.2038761579264,6340.213544861105,6784.324833862988,6340.213544861105,8759.711018591834,0.3015714047693347,1.2297419956799998,True,True,True,True
0.802,0.49,1.2043735778831999,6447.241428748875,6912.618709032938,6447.241428748875,8907.837922774243,0.30043947578279717,1.2297419956799998,True,True,True,True
0.802,0.5,1.2048709978399998,6556.659554485082,7043.80503477412,6556.659554485082,9057.449635221526,0.2992972502155689,1.2297419956799998,True,True,True,True
0.802,0.51,1.2053684177967998,6668.549627306841,7177.951705879071,6668.549627306841,9208.570832241776,0.2981442489447661,1.2297419956799998,True,True,True,True
0.802,0.52,1.2058658377535998,6782.99711093102,7315.12798536015,6782.99711093102,9361.22666694446,0.29697997223001615,1.2297419956799998,True,True,True,True
0.802,0.53,1.2063632577103998,6900.091446300822,7455.404513449886,6900.091446300822,9515.442783498087,0.29580389849362243,1.2297419956799998,True,True,True,True
0.802,0.54,1.2068606776672,7019.926285787789,7598.853315440189,7019.926285787789,9671.245331766568,0.2946154830148754,1.2297419956799998,True,True,True,True
0.802,0.55,1.2073580976239997,7142.599744138419,7745.547808274691,7142.599744138419,9828.660982342808,0.2934141565313416,1.2297419956799998,True,True,True,True
0.802,0.56,1.2078555175808,7268.214667578996,7895.562805898315,7268.214667578996,9987.71694199812,0.29219932373926993,1.2297419956799998,True,True,True,True
0.802,0.57,1.2083529375375999,7396.878922630331,8048.974523238286,7396.878922630331,10148.4409695669,0.2909703616844897,1.2297419956799998,True,True,True,True
