grade,eta,eta_in_window,vf,rho_g_cc,E_mt_mpa,E_hs_lo,E_hs_hi,meets_target
S22,0.9702524679462838,False,0.03,1.1511999999999998,2993.3040050323684,2993.3040050323684,2993.3233025612003,False
S22,0.9702524679462838,False,0.04,1.1415999999999997,2991.0505246554294,2991.0505246554294,2991.0760925640543,False
S22,0.9702524679462838,False,0.05,1.132,2988.786207697693,2988.786207697693,2988.8179629337424,False
S22,0.9702524679462838,False,0.06,1.1223999999999998,2986.510996224195,2986.510996224195,2986.5488545223116,False
S22,0.9702524679462838,False,0.07,1.1128,2984.2248318931797,2984.2248318931797,2984.268707761104,False
S22,0.9702524679462838,False,0.08,1.1032,2981.9276559525147,2981.9276559525147,2981.9774626570074,False
S22,0.9702524679462838,False,0.09,1.0936000000000001,2979.619409236088,2979.619409236088,2979.675058788679,False
S22,0.9702524679462838,False,0.1,1.084,2977.300032160152,2977.300032160152,2977.361435302715,False
S22,0.9702524679462838,False,0.11,1.0744,2974.9694647196457,2974.9694647196457,2975.0365309097892,False
S22,0.9702524679462838,False,0.12,1.0648,2972.627646484458,2972.627646484458,2972.7002838807493,False
S22,0.9702524679462838,False,0.13,1.0552,2970.27451659567,2970.27451659567,2970.352632042662,False
S22,0.9702524679462838,False,0.14,1.0455999999999999,2967.910013761746,2967.910013761746,2967.9935127748345,False
S22,0.9702524679462838,False,0.15,1.0359999999999998,2965.5340762546857,2965.5340762546857,2965.6228630047613,False
S22,0.9702524679462838,False,0.16,1.0263999999999998,2963.146641906132,2963.146641906132,2963.2406192040708,False
S22,0.9702524679462838,False,0.17,1.0168,2960.747648103451,2960.747648103451,2960.8467173843806,False
S22,0.9702524679462838,False,0.18,1.0071999999999999,2958.3370317857534,2958.3370317857534,2958.4410930931467,False
S22,0.9702524679462838,False,0.19,0.9975999999999999,2955.914729439883,2955.914729439883,2956.0236814094446,False
S22,0.9702524679462838,False,0.2,0.9879999999999999,2953.4806770963555,2953.4806770963555,2953.5944169397135,False
S22,0.9702524679462838,False,0.21,0.9783999999999999,2951.0348103252636,2951.0348103252636,2951.153233813451,False
S22,0.9702524679462838,False,0.22,0.9687999999999999,2948.5770642321218,2948.5770642321218,2948.700065678861,False
S22,0.9702524679462838,False,0.23,0.9591999999999998,2946.1073734536835,2946.1073734536835,2946.234845698457,False
S22,0.9702524679462838,False,0.24,0.9495999999999998,2943.6256721537047,2943.6256721537047,2943.7575065446113,False
S22,0.9702524679462838,False,0.25,0.94,2941.1318940186566,2941.1318940186566,2941.267980395057,False
S22,0.9702524679462838,False,0.26,0.9303999999999999,2938.625972253403,2938.625972253403,2938.7661989283524,False
S22,0.9702524679462838,False,0.27,0.9207999999999998,2936.107839576819,2936.107839576819,2936.25209331927,False
S22,0.9702524679462838,False,0.28,0.9111999999999998,2933.5774282173725,2933.5774282173725,2933.7255942341594,False
S22,0.9702524679462838,False,0.29,0.9015999999999997,2931.034669908647,2931.034669908647,2931.186631826244,False
S22,0.9702524679462838,False,0.3,0.8919999999999998,2928.479495884825,2928.479495884825,2928.635135730872,False
S22,0.9702524679462838,False,0.31,0.8823999999999999,2925.911836876113,2925.911836876113,2926.071035060712,False
S22,0.9702524679462838,False,0.32,0.8727999999999998,2923.3316231041294,2923.3316231041294,2923.494258400894,False
S22,0.9702524679462838,False,0.33,0.8631999999999997,2920.7387842772196,2920.7387842772196,2920.904733804098,False
S22,0.9702524679462838,False,0.34,0.8535999999999997,2918.1332495857373,2918.1332495857373,2918.302388785595,False
S22,0.9702524679462838,False,0.35,0.8439999999999999,2915.51494769728,2915.51494769728,2915.6871503182083,False
S22,0.9702524679462838,False,0.36,0.8343999999999998,2912.883806751841,2912.883806751841,2913.0589448272494,False
S22,0.9702524679462838,False,0.37,0.8247999999999998,2910.239754356941,2910.239754356941,2910.4176981853802,False
S22,0.9702524679462838,False,0.38,0.8151999999999998,2907.582717582687,2907.582717582687,2907.763335707406,False
S22,0.9702524679462838,False,0.39,0.8055999999999999,2904.9126229567787,2904.9126229567787,2905.0957821450443,False
S22,0.9702524679462838,False,0.4,0.7959999999999998,2902.229396459468,2902.229396459468,2902.4149616815907,False
S22,0.9702524679462838,False,0.41,0.7863999999999999,2899.532963518443,2899.532963518443,2899.720797926564,False
S22,0.9702524679462838,False,0.42,0.7767999999999998,2896.82324900368,2896.82324900368,2897.0132139102657,False
S22,0.9702524679462838,False,0.43,0.7671999999999999,2894.1001772222153,2894.1001772222153,2894.29213207828,False
S22,0.9702524679462838,False,0.44,0.7575999999999998,2891.363671912875,2891.363671912875,2891.557474285923,False
S22,0.9702524679462838,False,0.45,0.7479999999999999,2888.6136562409274,2888.6136562409274,2888.809161792622,False
S22,0.9702524679462838,False,0.46,0.7383999999999998,2885.8500527926963,2885.8500527926963,2886.0471152562254,False
S22,0.9702524679462838,False,0.47,0.7287999999999998,2883.072783570097,2883.072783570097,2883.2712547272536,False
S22,0.9702524679462838,False,0.48,0.7191999999999998,2880.2817699851134,2880.2817699851134,2880.481499643078,False
S22,0.9702524679462838,False,0.49,0.7095999999999998,2877.4769328542216,2877.4769328542216,2877.677768822047,False
S22,0.9702524679462838,False,0.5,0.6999999999999997,2874.6581923927392,2874.6581923927392,2874.8599804575238,False
S22,0.9702524679462838,False,0.51,0.6903999999999997,2871.8254682091138,2871.8254682091138,2872.0280521118693,False
S22,0.9702524679462838,False,0.52,0.6807999999999997,2868.9786792991476,2868.9786792991476,2869.1819007103545,False
S22,0.9702524679462838,False,0.53,0.6711999999999998,2866.1177440401566,2866.1177440401566,2866.3214425349947,False
S22,0.9702524679462838,False,0.54,0.6615999999999997,2863.2425801850563,2863.2425801850563,2863.44659321832,False
S22,0.9702524679462838,False,0.55,0.6519999999999997,2860.3531048563923,2860.3531048563923,2860.5572677370665,False
S22,0.9702524679462838,False,0.56,0.6423999999999996,2857.4492345402873,2857.4492345402873,2857.6533804058035,False
S22,0.9702524679462838,False,0.57,0.6327999999999998,2854.530885080329,2854.530885080329,2854.7348448704715,False
S22,0.9702524679462838,False,0.58,0.6231999999999998,2851.5979716713837,2851.5979716713837,2851.801574101861,False
S22,0.9702524679462838,False,0.59,0.6135999999999998,2848.6504088533343,2848.6504088533343,2848.853480389004,False
S22,0.9702524679462838,False,0.6,0.6039999999999998,2845.6881105047555,2845.6881105047555,2845.890475332485,False
K25,0.9660521882216339,True,0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999986,False
K25,0.9660521882216339,True,0.01,1.1706999999999999,3001.8816324925097,3001.8816324925097,3001.928749339874,False
K25,0.9660521882216339,True,0.02,1.1614,3003.7498541628524,3003.7498541628524,3003.8436839937685,False
K25,0.9660521882216339,True,0.03,1.1521,3005.6045643205393,3005.6045643205393,3005.744691309851,False
K25,0.9660521882216339,True,0.04,1.1427999999999998,3007.445661746504,3007.445661746504,3007.631657946178,False
K25,0.9660521882216339,True,0.05,1.1335,3009.2730446913097,3009.2730446913097,3009.5044698672164,False
K25,0.9660521882216339,True,0.06,1.1242,3011.086610873384,3011.086610873384,3011.3630123403664,False
K25,0.9660521882216339,True,0.07,1.1149,3012.886257477229,3012.886257477229,3013.207169932473,False
K25,0.9660521882216339,True,0.08,1.1056,3014.6718811516757,3014.6718811516757,3015.0368265063266,False
K25,0.9660521882216339,True,0.09,1.0963,3016.4433780081154,3016.4433780081154,3016.8518652171683,False
K25,0.9660521882216339,True,0.1,1.0870000000000002,3018.2006436187476,3018.2006436187476,3018.6521685091716,False
K25,0.9660521882216339,True,0.11,1.0777,3019.9435730148434,3019.9435730148434,3020.4376181119296,False
K25,0.9660521882216339,True,0.12,1.0684,3021.6720606850045,3021.6720606850045,3022.2080950369277,False
K25,0.9660521882216339,True,0.13,1.0591,3023.3860005734414,3023.3860005734414,3023.9634795740194,False
K25,0.9660521882216339,True,0.14,1.0498,3025.08528607825,3025.08528607825,3025.703651287881,False
K25,0.9660521882216339,True,0.15,1.0405,3026.7698100496987,3026.7698100496987,3027.4284890144704,False
