table,eta,vf,particle_true_density_g_cc,E_mt_mpa,E_ds_mpa,nu_mt,rho_g_cc,specific_E_mpa_cc_g,E_hs_lo_mpa,E_hs_hi_mpa,inside_hs_band,feasible,hs_feasible,grade,eta_in_requested_range
grid,0.8025,0.27,1.2272898603125,4529.480980547448,4649.929060496436,0.3236353755653505,1.192768262284375,3797.452634992687,4529.480980547448,5944.485956845131,True,True,True,,
grid,0.8025,0.28,1.2272898603125,4600.161279313617,4730.755870178709,0.3226354193917405,1.1932411608875,3855.181525830155,4600.161279313617,6066.075394762422,True,True,True,,
grid,0.8025,0.29,1.2272898603125,4672.109629395419,4813.335431096847,0.3216319679028325,1.1937140594906248,3913.926951140272,4672.109629395419,6188.715717691845,True,True,True,,
grid,0.8025,0.3,1.2272898603125,4745.361065369782,4897.710115425647,0.3206247940343323,1.1941869580937499,3973.7170408766488,4745.361065369782,6312.424310230597,True,True,True,,
grid,0.8025,0.31,1.2272898603125,4819.951917133204,4983.923312683388,0.3196136638674402,1.194659856696875,4034.580964710683,4819.951917133204,6437.218792221024,True,True,True,,
grid,0.8025,0.32,1.2272898603125,4895.919870432654,5072.019448859147,0.31859833628573747,1.1951327553,4096.548980622399,4895.919870432654,6563.117028678111,True,True,True,,
grid,0.8025,0.33,1.2272898603125,4973.304030820967,5162.0440057575815,0.31757856261306505,1.195605653903125,4159.652486240194,4973.304030820967,6690.137139764349,True,True,True,,
grid,0.8025,0.34,1.2272898603125,5052.144991264888,5254.0435398882055,0.31655408623111847,1.1960785525062498,4223.924073112656,5052.144991264888,6818.297510828672,True,True,True,,
grid,0.8025,0.35000000000000003,1.2272898603125,5132.48490365157,5348.0657014502085,0.31552464217538717,1.1965514511093749,4289.397584109751,5132.48490365157,6947.616802525613,True,True,True,,
grid,0.8025,0.36,1.2272898603125,5214.367554458329,5444.159253000894,0.3144899567079581,1.1970243497125,4356.108174165973,5214.367554458329,7078.113961030478,True,True,True,,
grid,0.8025,0.37,1.2272898603125,5297.838444871299,5542.374088328253,0.3134497468655885,1.197497248315625,4424.092374594705,5297.838444871299,7209.808228366173,True,True,True,,
