table,grade,eta,particle_true_density_g_cc,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,specific_E_mpa_cc_g
eta_optimum,,0.925,0.5297090624999998,0.6,0.7898254374999998,4944.482729993947,4999.226112519992,4944.482729993947,5125.808048096597,6260.22218991136
eta_optimum,,0.9275,0.5133653134375,0.6,0.7800191880625,4851.547661187977,4899.354583936878,4851.547661187977,5009.548779381486,6219.779891875224
eta_optimum,,0.9299999999999999,0.49693322000000034,0.6,0.7701599320000001,4756.415414746813,4797.754227554598,4756.415414746813,4892.756205194036,6175.880121931366
eta_optimum,,0.9325,0.48041254406250006,0.6,0.7602475264374999,4659.0099824428125,4694.358989279135,4659.0099824428125,4775.370588209253,6128.280356629125
eta_optimum,,0.9349999999999999,0.4638030475000004,0.6,0.7502818285000001,4559.251796348939,4589.097898635812,4559.251796348939,4657.324471252286,6076.71893835416
eta_optimum,,0.9375,0.4471044921875,0.6,0.7402626953125,4457.057517636988,4481.894498269417,4457.057517636988,4538.54143539826,6020.91331342241
eta_optimum,,0.94,0.4303166400000003,0.6,0.7301899840000001,4352.339810078255,4372.666181776241,4352.339810078255,4418.934607794057,5960.558081385919
eta_optimum,,0.9425,0.41343925281249994,0.6,0.7200635516874999,4245.007096916427,4261.323419786504,4245.007096916427,4298.404858190868,5895.322832225114
eta_optimum,,0.945,0.3964720925000004,0.6,0.7098832555000002,4134.9632996421815,4147.768849330335,4134.9632996421815,4176.838605553706,5824.849744807342
eta_optimum,,0.9475,0.3794149209374999,0.6,0.6996489525624999,4022.107557038348,4031.8961961177624,4022.107557038348,4054.105132547978,5748.750916166135
eta_optimum,,0.95,0.3622675000000003,0.6,0.6893605000000002,3906.3339226813646,3913.588988077181,3906.3339226813646,3930.0532738820625,5666.605386704581
eta_optimum,,0.9524999999999999,0.34502959156250074,0.6,0.6790177549375004,3787.531038871698,3792.7190086809037,3787.531038871698,3804.507301061967,5577.955821229326
eta_optimum,,0.955,0.3277009575000004,0.6,0.6686205745000002,3665.5817847173935,3669.1444181376146,3665.5817847173935,3677.2617661945337,5482.3047996369905
eta_optimum,,0.9575,0.31028135968749987,0.6,0.6581688158124999,3540.3628957991154,3542.707450807893,3540.3628957991154,3548.074983785373,5379.110663923797
grade_optimum,K46,0.935570543253382,0.45999999999999974,0.6,0.7479999999999998,4536.146916825539,4564.806156512037,4536.146916825539,4630.283979214606,6064.367535863022
grade_optimum,S32,0.9561068270646955,0.31999999999999973,0.6,0.6639999999999998,3610.5544104570577,3613.5299817975724,3610.5544104570577,3620.3221123760063,5437.581943459426
grade_optimum,S38,0.9474144656904223,0.38000000000000017,0.6,0.7000000000000001,4026.0163622174805,4035.9001594250453,4026.0163622174805,4058.3251589747983,5751.451946024971
grade_optimum,S60,0.9140907996334218,0.6000000000000003,0.6,0.8320000000000001,5326.047433699519,5416.251763664908,5326.047433699519,5628.0881297333,6401.499319350383
